ID,OrderId,UID,MID,Charge,TalkTime,Source,Country,UserSpend,MasterEarn,OrderStatus,Ender,Activity,Platform,CreateTime(IN),DialTime(IN),UnconnectTime(IN),ConnectTime(IN),HangUpTime(IN),RefundStatus,Review,,,ExotelCallId
3962869,64F4D68ED2255639S596,2547048,133,25,8,Chat,1,200,100,HangUp,Master,,Android,2023-09-04 00:25:10,2023-09-04 00:25:20,,2023-09-04 00:25:22,2023-09-04 00:33:23,,Yes,,,
3962870,64F4D6A0CE039732X951,2631127,650,22.5,0,Chat(queue),1,0,0,Create,User,Member,Android,2023-09-04 00:25:28,,2023-09-04 00:50:16,,,,No,,,
3962871,64F4D6C3326BB346G752,2168318,892,21,10,Call,1,210,105,HangUp,User,,Android,2023-09-04 00:26:03,2023-09-04 00:26:03,,2023-09-04 00:26:12,2023-09-04 00:37:06,,No,,,2deed0e8463aa47c67986cd01d851794
3962872,64F4D6DB652A7136P129,3151442,656,20,9,Chat,1,180,90,HangUp,User,,Android,2023-09-04 00:26:27,2023-09-04 00:26:31,,2023-09-04 00:26:34,2023-09-04 00:36:02,,No,,,
3962873,64F4D7000560A916O431,3333496,891,33,0,Call(queue),1,0,0,Create,User,,IOS,2023-09-04 00:27:04,,2023-09-04 00:33:02,,,,No,,,
3962874,64F4D71DCC789820C698,3547061,1067,15,11,Chat,1,165,82.5,HangUp,backend,,IOS,2023-09-04 00:27:33,2023-09-04 00:27:53,,2023-09-04 00:27:55,2023-09-04 00:41:32,,No,,,
3962875,64F4D7733FABD671V827,1684456,1084,15,9,Call,1,135,54,HangUp,User,,Android,2023-09-04 00:28:59,2023-09-04 00:28:59,,2023-09-04 00:29:05,2023-09-04 00:39:33,,No,,,817d3cbb2a342243ed2793869d781794
3962876,64F4D7768D413393Y675,2797763,46,60,0,Chat,1,0,0,HangUp,User,,Android,2023-09-04 00:29:02,2023-09-04 00:29:09,,2023-09-04 00:29:10,2023-09-04 00:29:19,,No,,,
3962877,64F4D7927D63D640E805,2797763,46,60,10,Call,1,600,300,HangUp,User,,Android,2023-09-04 00:29:30,2023-09-04 00:29:30,,2023-09-04 00:29:42,2023-09-04 00:40:12,,No,,,023e09b93b61f1eac4ef7191081f1794
3962878,64F4D7B4D5723745B408,148365,1099,96,0,Call,1,0,0,NoAnswer,Master,,Android,2023-09-04 00:30:04,2023-09-04 00:30:05,2023-09-04 00:31:06,,,,No,,,fc70bd9f36af1c055e89c05e5f3e1794
3962879,64F4D7E89CECB866Q925,1191606,1018,20,0,Call(queue),1,0,0,Create,User,,IOS,2023-09-04 00:30:56,,2023-09-04 00:35:43,,,,No,,,
3962880,64F4D80A5869E612I850,148365,1099,96,0,Call,1,0,0,NoAnswer,Master,,Android,2023-09-04 00:31:30,2023-09-04 00:31:30,2023-09-04 00:32:31,,,,No,,,bfcc7ae4e07f0e91c1bb3b2e7bfa1794
3962881,64F4D8232CD25721R242,2579139,1087,15,13,Chat,1,195,78,HangUp,User,,Android,2023-09-04 00:31:55,2023-09-04 00:32:18,,2023-09-04 00:32:24,2023-09-04 00:45:38,,Yes,,,
3962882,64F4D834B7075390L387,2863547,1073,18,0,Chat(queue),1,0,0,HangUp,Master,,Android,2023-09-04 00:32:12,2023-09-04 00:34:55,,,2023-09-04 00:36:13,,No,,,
3962883,64F4D83E65A23422L299,3563997,558,45,6,Call,1,270,15,HangUp,User,First 5₹,Android,2023-09-04 00:32:22,2023-09-04 00:32:22,,2023-09-04 00:32:30,2023-09-04 00:38:02,,No,,,529759dde817374590bdb55967a61794
3962884,64F4D8686F1FE152L580,651265,1071,32,7,Call,1,224,112,HangUp,User,,Android,2023-09-04 00:33:04,2023-09-04 00:33:04,,2023-09-04 00:33:31,2023-09-04 00:41:28,,Yes,,,74f7cc3371d002bd90cdd39b6ce51794
3962885,64F4D86940B2E118R215,3333496,891,33,2,Call(queue),1,66,33,HangUp,User,,IOS,2023-09-04 00:33:05,2023-09-04 00:44:41,,2023-09-04 00:44:47,2023-09-04 00:47:18,,No,,,7763f6576844fcb551daa5a078c51794
3962886,64F4D86978FF0119T273,3563992,788,35,6,Chat,1,210,15,HangUp,User,First 5₹,Android,2023-09-04 00:33:05,2023-09-04 00:33:10,,2023-09-04 00:33:14,2023-09-04 00:39:15,,No,,,
3962887,64F4D87587D15164J872,1917868,619,23,8.695652,Chat,1,200,103.5,HangUp,User,,Android,2023-09-04 00:33:17,2023-09-04 00:33:33,,2023-09-04 00:33:36,2023-09-04 00:42:18,,No,,,
3962888,64F4D8922CA65963M100,3563999,128,40,6,Chat,1,240,15,HangUp,User,First 5₹,Android,2023-09-04 00:33:46,2023-09-04 00:34:07,,2023-09-04 00:34:17,2023-09-04 00:40:19,,No,,,
3962889,64F4D8F73FD5B835O222,3226405,338,40,10,Call,1,400,200,HangUp,User,,Android,2023-09-04 00:35:27,2023-09-04 00:35:27,,2023-09-04 00:35:41,2023-09-04 00:46:16,,No,,,b1f7288a7b15d303f963f78473e81794
3962890,64F4D93C00766458I612,3547004,338,40,16,Call(queue),1,640,320,HangUp,User,,Android,2023-09-04 00:36:36,2023-09-04 00:46:52,,2023-09-04 00:47:01,2023-09-04 01:04:19,,No,,,cc0604502c7d00a68446fd4d22e11794
3962891,64F4DA2D70F6D922N966,3481899,938,25,0,Chat,1,0,0,NoAnswer,backend,,IOS,2023-09-04 00:40:37,,2023-09-04 00:43:42,,,,No,,,
3962892,64F4DA30E2870550Q426,3268848,1088,22,6,Chat,1,132,66,HangUp,User,,Android,2023-09-04 00:40:40,2023-09-04 00:40:54,,2023-09-04 00:40:57,2023-09-04 00:46:52,,Yes,,,
3962893,64F4DA3B473CE956T579,3552420,892,21,5,Chat,1,105,52.5,HangUp,User,,Android,2023-09-04 00:40:51,2023-09-04 00:42:39,,2023-09-04 00:42:43,2023-09-04 00:47:31,,Yes,,,
3962894,64F4DA47A4547167L767,3563992,1049,11,1,Chat,1,11,5.5,HangUp,Master,,Android,2023-09-04 00:41:03,2023-09-04 00:41:07,,2023-09-04 00:41:09,2023-09-04 00:41:50,,No,,,
